-2215, 1805.5, 3253.5
-1892, 2784, 2062
-2500.75, 1720, 3087.75
-4493, 1613, 3415
-3514, 1283, 2977
-1550, 1525, 2318
-3046.142857, 1087.0, 2871.142857
-2538, 1785, 1023
-4336, -168, 4988
-2028, 2118, 2614
-4390, 1050, 3131
-3397, 1564, 2684
-3778, 1344, 2384
-3693, 1278, 2790
-4444, 1401, 2900
-3200, 2127, 2831
-3818, 715, 3394
-1849, 993.5, 2104
-4411, 1113, 2790
-2654, 322, 3997
-5146, 909, 4174
-3825, 1020, 2863
-2822, 1276, 2526
-3351.18, 947, 2475.6
-4011, 1198, 1206
-3150, 732, 2460
-2867, 1210, 1623
-4539, 498, 2063
-3935, 628, 2166
-3678.375, 591.75, 2015.625
-2140, 2036, 553
894, 3685, -1537
-6097, 181, 2012
-3661.451613, 878.032258, 1932.419355
-6897, 1719, 3018
-2756.253968, 1468.119048, 2970.5
-4156, 1970, 1290
-1715, 528, 2882
-3056.664948, 1401.061856, 2667.21134
-3391.648649, 1146.459459, 2329.081081
-2787, 1245, 2221
-3466.5, 731.5, 2449
-5373, -155, 2160
-3535.627027, 899.113514, 2194.713514
-1386, -620, 3759
-1772, -1019, 3742
-1269, 1334, 2498
-3171, 863, 2684
-2855, 2251, 2210
-2789, 1817, 2684
-3162.621891, 1221.825871, 2534.99005